Name,Formula,Category,G. cal mol-1,SD. cal mol-1,S. cal mol-1 °K-1,SD. cal mol-1 °K-1,V. cm3 mol-1,SD. cm3 mol-1,a. cal mol-1 °K-1,SD. cal mol-1 °K-1,b·1000. cal mol-1 °K-1,SD·1000. cal mol-1 °K-1,c·10-5. cal mol-1 °K-1,SD·10-5. cal mol-1 °K-1,,,,,,,,,,Tmax. °K,EactH+,lgKH+,nH+,nFe+++,pH+,qH+,EactH2O,lgKH2O,nO2,pH2O,qH2O,EactOH-,lgKOH-,mOH-,pOH-,qOH-,EactPCO2,logKPCO2,nPCO2,pPCO2,qPCO2,Reaction,References to constants,References to uncertainties,References to kinetics,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBITE,Na(1)Al(1)Si(3)O(8),min,-886308,311,49.51,0.0478,100.07,65,61.7,,13.9,,-15.01,,,,,,,,,,,1400,15535,-9.62,403,,0.76,90,,,,,,16969,-9.64,376,0.76,90,,,,,,Na+,+,Al+3,+,3SiO2.aq,+,2OH-,-,2H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,(version,from,Brantley.,2008),pH,dependence,from,Bandstra,et,al..,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMORPHOUS-SILICA,Si(1)O(2),min,-202892,251,14.34,0.12,29,0.05,5.93,,47.2,,-22.78,,,,,,,,,,,622,,,,,,,18164,-12.31,,1,1,,,,,,,,,,,SiO2.aq,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,e:,recalculated,data,of,Incenhower,and,Dove.,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANALCIME,Na(1)Al(1)Si(2)O(7)H(2),min,-738098,394,56,0.0359,97.1,0.1,53.49,,24.14,,-8.88,,,,,,,,,,,1000,8890,-10.16,457,,1,2,8890,-12.56,,1,2,8890,-7592,572,1,2,,,,,,Na+,+,Al+3,+,2SiO2.aq,+,3OH-,-,H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Eact.,p.,q,from,Barnes,et,al..,2000.,K,the,same,as,for,albite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANHYDRITE,Ca(1)S(1)O(4),min,-315925,514,25.5,0.0239,45.94,5,16.78,,23.6,,0,,,,,,,,,,,1453,,,,,,,3418,-3.19,,1,1,,,,,,,,,,,Ca+2,+,SO4-2,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANORTHITE,Ca(1)Al(2)Si(2)O(8),min,-954078,239,49.1,0.0359,100.79,25,63311,,14794,,-15.44,,,,,,,,,,,1700,3967,-3.5,1411,,1,1,4254,-9.12,,1,1,,,,,,,,,,,Ca+2,+,2Al+3,+,2SiO2.aq,+,4OH-,-,4H+,Helgeson,et,al..,1978;,Shock,and,Helgeson.,1988,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAGONITE,Ca(1)C(1)O(3),min,-269683,110,21.56,0.0239,34.15,25,20.13,,10.24,,-3.34,,,,,,,,,,,600,3442,-0.3,1,,1,1,5617,-5.81,,1,1,,,,,,8461,-3.48,1,1,1,Ca+2,+,CO3-2,Helgeson,et,al..,1978;,Plummer,and,Busenberg.,1982,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,the,same,as,for,calcite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEIDELLITE,Ca(0.185)K(0.104)Si(3.574)Al(2.238)Mg(0.09)Fe(0.112)O(12)H(2),min,-1280409,1558,70.15,0.0335,137.98,,64.75,0.0255,81.96,,-11.62,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,Gailhanou,et,al..,2012,Gailhanou,et,al..,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOEHMITE,Al(1)O(2)H(1),min,-217250,263,11.58,12,19535,15,14435,,4.2,,0,,,,,,,,,,,500,22968,-6.36,0.71,,1,1,9704,-11.11,,1,1,,,,,,,,,,,Al+3,+,2OH-,-,H+,Helgeson,et,al..,1978,Robie,and,Hemingway.,1995,from,Diaspore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCITE,Mg(1)O(2)H(2),min,-199646,72,15.09,12,24.63,35,24147,,4.0124,,-6.11,,,,,,,,,,,900,14101,-4.73,0.5,,1,1,10038,-8.24,,1,1,,,,,,,,,,,Mg+2,+,2OH-,Helgeson,et,al..,1978,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALCITE,Ca(1)C(1)O(3),min,-269880,110,22.15,0.0239,36934,5,24.98,,5.24,,-6.2,,,,,,,,,,,1200,3442,-0.3,1,,1,1,5617,-5.81,,1,1,,,,,,8461,-3.48,1,1,1,Ca+2,+,CO3-2,Helgeson,et,al..,1978;,Plummer,and,Busenberg.,1982,SD(G):,Holland,and,Powell.,2011;,SD(S).,SD(V):,Robie,and,Hemingway.,1995,Palandri,and,Kharaka.,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
